id_student,code_module,code_presentation,precision,recall
77367,AAA,2013J,0.15,0.16666666666666666
77692,FFF,2014J,0.55,0.20754716981132076
77744,FFF,2013J,0.45,0.19148936170212766
77763,DDD,2013B,0.15,0.046875
77845,FFF,2014B,0.1,0.2222222222222222
77995,FFF,2014J,0.3,0.25
77998,FFF,2013B,0.05,0.045454545454545456
77998,FFF,2014B,0.15,0.05357142857142857
78170,DDD,2013J,0.25,0.1282051282051282
78645,BBB,2013B,0.0,0.0
79261,FFF,2013J,0.65,0.18840579710144928
79403,AAA,2014J,0.35,0.35
79461,CCC,2014B,0.2,0.16
79610,FFF,2014J,0.1,0.05714285714285714
79683,FFF,2014B,0.0,0.0
80329,CCC,2014J,0.15,0.05172413793103448
80329,DDD,2013J,0.0,0.0
80329,DDD,2014J,0.0,0.0
80358,EEE,2014J,0.35,0.3181818181818182
80438,FFF,2014J,0.7,0.24561403508771928
80448,GGG,2013J,0.35,0.28
80491,CCC,2014J,0.05,0.3333333333333333
80717,BBB,2013J,0.35,0.1320754716981132
80745,FFF,2013B,0.3,0.18181818181818182
80775,DDD,2014J,0.15,0.07142857142857142
80868,CCC,2014J,0.3,0.08
80868,DDD,2013J,0.15,0.05263157894736842
81351,DDD,2013B,0.2,0.10810810810810811
81754,GGG,2014B,0.2,0.6666666666666666
82088,DDD,2013J,0.1,0.4
82341,GGG,2013J,0.3,0.2608695652173913
82535,BBB,2013B,0.2,0.26666666666666666
82575,CCC,2014B,0.15,0.06818181818181818
82741,BBB,2013B,0.35,0.14583333333333334
82817,FFF,2013B,0.35,0.175
83219,CCC,2014B,0.0,0.0
83219,EEE,2014B,0.05,0.037037037037037035
83254,BBB,2013B,0.25,0.0641025641025641
83453,CCC,2014B,0.0,0.0
83553,DDD,2014J,0.0,0.0
83603,FFF,2014B,0.65,0.25
84051,FFF,2013B,0.2,0.23529411764705882
84245,BBB,2013B,0.15,0.075
84299,CCC,2014B,0.05,0.125
84299,FFF,2014B,0.35,0.1794871794871795
84576,DDD,2014B,0.15,0.0625
84604,FFF,2014J,0.15,0.02608695652173913
84605,DDD,2013J,0.05,0.2
84605,DDD,2014B,0.05,0.02127659574468085
84664,BBB,2013B,0.15,0.3333333333333333
84812,BBB,2013J,0.2,0.36363636363636365
85092,AAA,2014J,0.2,0.17391304347826086
85144,AAA,2014J,0.2,0.2
85302,AAA,2014J,0.5,0.3125
86047,DDD,2013B,0.2,0.09302325581395349
86291,BBB,2013J,0.0,0.0
86538,FFF,2013B,0.35,0.4117647058823529
86669,FFF,2013J,0.2,0.0851063829787234
87107,DDD,2013B,0.05,0.02564102564102564
87152,FFF,2013B,0.55,0.25
87264,FFF,2014J,0.65,0.08843537414965986
87322,FFF,2014J,0.7,0.22950819672131148
87431,AAA,2014J,0.35,0.4375
87732,BBB,2013B,0.2,0.14814814814814814
87929,GGG,2013J,0.2,0.16666666666666666
88439,DDD,2014J,0.5,0.18181818181818182
88490,DDD,2014B,0.35,0.1044776119402985
88568,EEE,2013J,0.25,0.15625
88781,FFF,2013J,0.35,0.1794871794871795
88910,DDD,2014B,0.05,0.05263157894736842
89051,DDD,2013B,0.1,0.046511627906976744
89092,BBB,2014B,0.05,0.16666666666666666
89188,DDD,2013J,0.25,0.06329113924050633
