id_student,code_module,code_presentation,precision,recall,f1
53709,FFF,2013B,0.05,0.5,0.09090909090909091
53709,FFF,2014B,0.15,0.08333333333333333,0.10714285714285714
54062,EEE,2013J,0.35,0.4666666666666667,0.4
54810,DDD,2014J,0.35,0.11864406779661017,0.17721518987341772
54882,FFF,2013J,0.05,0.3333333333333333,0.08695652173913045
55026,BBB,2013J,0.3,0.3333333333333333,0.3157894736842105
55104,AAA,2014J,0.3,0.6,0.4
55450,FFF,2013B,0.15,0.75,0.24999999999999997
56637,FFF,2014J,0.35,0.19444444444444445,0.25
56667,FFF,2014J,0.3,0.46153846153846156,0.3636363636363637
56789,BBB,2013J,0.15,0.21428571428571427,0.1764705882352941
57079,BBB,2013J,0.1,0.09090909090909091,0.09523809523809525
57227,DDD,2013J,0.35,0.23333333333333334,0.28
57285,BBB,2014J,0.15,0.6,0.24
57340,CCC,2014B,0.05,0.0625,0.05555555555555556
57506,AAA,2013J,0.3,0.2857142857142857,0.2926829268292683
57818,DDD,2013J,0.3,0.1111111111111111,0.16216216216216217
57844,FFF,2013J,0.7,0.3783783783783784,0.4912280701754387
58071,AAA,2014J,0.35,0.7777777777777778,0.48275862068965514
58316,AAA,2014J,0.2,0.3333333333333333,0.25
58549,FFF,2013B,0.05,0.05555555555555555,0.052631578947368425
58617,DDD,2014B,0.05,0.125,0.07142857142857144
58640,FFF,2013J,0.3,0.3333333333333333,0.3157894736842105
58653,BBB,2014J,0.2,0.4,0.26666666666666666
58731,DDD,2014J,0.1,0.08333333333333333,0.0909090909090909
58873,AAA,2013J,0.5,0.47619047619047616,0.4878048780487805
58884,FFF,2014J,0.4,0.12698412698412698,0.19277108433734938
59185,AAA,2013J,0.3,0.4,0.34285714285714286
59272,BBB,2014J,0.35,0.3333333333333333,0.3414634146341463
59275,DDD,2013J,0.15,0.5,0.23076923076923075
59370,DDD,2013J,0.25,0.1724137931034483,0.20408163265306123
59725,BBB,2014B,0.3,0.2727272727272727,0.28571428571428564
60135,DDD,2013B,0.05,0.2,0.08000000000000002
60162,GGG,2014J,0.35,0.2916666666666667,0.31818181818181823
60405,GGG,2013J,0.15,0.15789473684210525,0.15384615384615385
60416,BBB,2014B,0.05,0.09090909090909091,0.06451612903225806
60809,CCC,2014J,0.4,0.23529411764705882,0.29629629629629634
60809,EEE,2014J,0.35,0.875,0.4999999999999999
60830,BBB,2014B,0.0,0.0,0.0
61227,CCC,2014J,0.3,0.15384615384615385,0.2033898305084746
61911,DDD,2014B,0.0,0.0,0.0
62034,EEE,2014J,0.15,0.3333333333333333,0.20689655172413793
62155,AAA,2013J,0.65,0.5,0.5652173913043479
62278,CCC,2014B,0.0,0.0,0.0
62487,AAA,2014J,0.0,0.0,0.0
63015,DDD,2014J,0.05,0.0625,0.05555555555555556
63112,EEE,2013J,0.2,0.6666666666666666,0.30769230769230765
63165,AAA,2014J,0.2,0.4444444444444444,0.2758620689655173
63295,FFF,2013J,0.15,0.42857142857142855,0.2222222222222222
63371,CCC,2014J,0.5,0.5,0.5
63400,AAA,2013J,0.2,0.25,0.22222222222222224
63467,BBB,2014J,0.05,0.2,0.08000000000000002
63566,DDD,2013J,0.15,0.075,0.1
63721,BBB,2014B,0.05,0.1,0.06666666666666667
63856,DDD,2013J,0.15,0.09375,0.11538461538461538
63949,GGG,2014J,0.2,0.5,0.28571428571428575
64275,BBB,2014B,0.05,0.14285714285714285,0.07407407407407408
64388,FFF,2013J,0.2,0.11428571428571428,0.14545454545454545
64427,FFF,2014J,0.45,0.13846153846153847,0.21176470588235297
64450,DDD,2014B,0.05,0.05263157894736842,0.05128205128205128
64901,GGG,2014B,0.25,0.22727272727272727,0.23809523809523808
65656,FFF,2013B,0.85,0.4857142857142857,0.6181818181818183
66254,CCC,2014B,0.05,0.2,0.08000000000000002
66451,FFF,2013J,0.3,0.2608695652173913,0.27906976744186046
66713,EEE,2013J,0.15,0.42857142857142855,0.2222222222222222
67182,GGG,2013J,0.2,0.36363636363636365,0.25806451612903225
67471,DDD,2013J,0.25,0.1282051282051282,0.1694915254237288
67505,DDD,2013J,0.0,0.0,0.0
67539,EEE,2014J,0.05,0.25,0.08333333333333334
67602,DDD,2013B,0.1,0.06666666666666667,0.08
67685,EEE,2014J,0.55,1.0,0.7096774193548387
67781,DDD,2014B,0.6,0.19672131147540983,0.2962962962962963
67785,DDD,2013B,0.25,0.17857142857142858,0.20833333333333331
68107,FFF,2013J,0.3,0.13333333333333333,0.18461538461538463
68208,FFF,2013B,0.2,0.08,0.11428571428571428
68376,DDD,2013J,0.2,0.2222222222222222,0.2105263157894737
